"state","state_total","species","species_total","p"
"Arkansas",293409,"White-Throated Sparrow",3370,0.0115
"New York",1336435,"White-Throated Sparrow",14510,0.0109
"North Carolina",1909882,"White-Throated Sparrow",16121,0.0084
"Virginia",1776624,"White-Throated Sparrow",14649,0.0082
"Connecticut",577033,"White-Throated Sparrow",4748,0.0082
"Pennsylvania",1941447,"White-Throated Sparrow",14392,0.0074
"Rhode Island",130587,"White-Throated Sparrow",972,0.0074
"Maryland",1132870,"White-Throated Sparrow",8005,0.0071
"District of Columbia",70055,"White-Throated Sparrow",487,0.007
"Delaware",142005,"White-Throated Sparrow",982,0.0069
"South Carolina",688623,"White-Throated Sparrow",4323,0.0063
"Massachusetts",1069489,"White-Throated Sparrow",6312,0.0059
"Georgia",1299183,"White-Throated Sparrow",7407,0.0057
"Missouri",934010,"White-Throated Sparrow",4628,0.005
"Illinois",1120326,"White-Throated Sparrow",5382,0.0048
"Wisconsin",452914,"White-Throated Sparrow",2169,0.0048
"Alabama",431100,"White-Throated Sparrow",2031,0.0047
"South Dakota",15062,"White-Throated Sparrow",69,0.0046
"Michigan",1006556,"White-Throated Sparrow",4530,0.0045
"Nebraska",151459,"White-Throated Sparrow",676,0.0045
"Vermont",59324,"White-Throated Sparrow",266,0.0045
"Tennessee",975045,"White-Throated Sparrow",4313,0.0044
"Iowa",273596,"White-Throated Sparrow",1199,0.0044
"Maine",134900,"White-Throated Sparrow",542,0.004
"Minnesota",413336,"White-Throated Sparrow",1516,0.0037
"Ohio",1322484,"White-Throated Sparrow",4446,0.0034
"Indiana",849567,"White-Throated Sparrow",2561,0.003
"New Hampshire",248851,"White-Throated Sparrow",744,0.003
"Montana",25244,"White-Throated Sparrow",69,0.0027
"Oklahoma",313048,"White-Throated Sparrow",780,0.0025
"Louisiana",231343,"White-Throated Sparrow",554,0.0024
"Kansas",534827,"White-Throated Sparrow",1247,0.0023
"Mississippi",136366,"White-Throated Sparrow",280,0.0021
"Kentucky",399499,"White-Throated Sparrow",813,0.002
"Texas",2095781,"White-Throated Sparrow",3748,0.0018
"Florida",1055743,"White-Throated Sparrow",1888,0.0018
"West Virginia",167000,"White-Throated Sparrow",289,0.0017
"Idaho",54716,"White-Throated Sparrow",56,0.001
"New Mexico",156851,"White-Winged Dove",24989,0.1593
"Texas",2095781,"White-Winged Dove",245000,0.1169
"Arizona",582640,"White-Winged Dove",40116,0.0689
"Louisiana",231343,"White-Winged Dove",10372,0.0448
"Nevada",90901,"White-Winged Dove",2442,0.0269
"Florida",1055743,"White-Winged Dove",26638,0.0252
"Oklahoma",313048,"White-Winged Dove",6527,0.0208
"Kansas",534827,"White-Winged Dove",6618,0.0124
"California",2195708,"White-Winged Dove",20861,0.0095
"Mississippi",136366,"White-Winged Dove",1203,0.0088
"Arkansas",293409,"White-Winged Dove",1601,0.0055
"Utah",194571,"White-Winged Dove",802,0.0041
"Colorado",486631,"White-Winged Dove",1737,0.0036
"New Jersey",1257279,"White-Winged Dove",3696,0.0029
"New York",1336435,"White-Winged Dove",3533,0.0026
"Rhode Island",130587,"White-Winged Dove",212,0.0016
"Illinois",1120326,"White-Winged Dove",1635,0.0015
"Missouri",934010,"White-Winged Dove",1055,0.0011
"Nevada",90901,"Woodhouses Scrub-Jay",4123,0.0454
"Utah",194571,"Woodhouses Scrub-Jay",6930,0.0356
"New Mexico",156851,"Woodhouses Scrub-Jay",3195,0.0204
"Arizona",582640,"Woodhouses Scrub-Jay",11659,0.02
"Colorado",486631,"Woodhouses Scrub-Jay",6944,0.0143
"Idaho",54716,"Woodhouses Scrub-Jay",232,0.0042
"California",2195708,"Woodhouses Scrub-Jay",2481,0.0011
"Florida",1055743,"Yellow-Throated Warbler",1562,0.0015
"Hawaii",53166,"Zebra Dove",2876,0.0541
