"state","state_total","species","species_total","p"
"Ohio",1322484,"Pine Siskin",31520,0.0238
"Illinois",1120326,"Pine Siskin",26568,0.0237
"Michigan",1006556,"Pine Siskin",23174,0.023
"Missouri",934010,"Pine Siskin",19631,0.021
"Kansas",534827,"Pine Siskin",11004,0.0206
"Pennsylvania",1941447,"Pine Siskin",37375,0.0193
"Nebraska",151459,"Pine Siskin",2759,0.0182
"Kentucky",399499,"Pine Siskin",7156,0.0179
"New Hampshire",248851,"Pine Siskin",4348,0.0175
"Arizona",582640,"Pine Siskin",9998,0.0172
"Maine",134900,"Pine Siskin",2316,0.0172
"Delaware",142005,"Pine Siskin",2423,0.0171
"New Jersey",1257279,"Pine Siskin",19781,0.0157
"West Virginia",167000,"Pine Siskin",2626,0.0157
"Massachusetts",1069489,"Pine Siskin",16671,0.0156
"Alabama",431100,"Pine Siskin",6601,0.0153
"Tennessee",975045,"Pine Siskin",14744,0.0151
"Rhode Island",130587,"Pine Siskin",1913,0.0146
"Vermont",59324,"Pine Siskin",850,0.0143
"Alaska",8740,"Pine Siskin",124,0.0142
"Virginia",1776624,"Pine Siskin",24652,0.0139
"North Carolina",1909882,"Pine Siskin",25957,0.0136
"Connecticut",577033,"Pine Siskin",7709,0.0134
"Maryland",1132870,"Pine Siskin",13901,0.0123
"New York",1336435,"Pine Siskin",16058,0.012
"Mississippi",136366,"Pine Siskin",1469,0.0108
"Arkansas",293409,"Pine Siskin",3146,0.0107
"Georgia",1299183,"Pine Siskin",13632,0.0105
"Oklahoma",313048,"Pine Siskin",3271,0.0104
"South Carolina",688623,"Pine Siskin",6762,0.0098
"Texas",2095781,"Pine Siskin",17731,0.0085
"District of Columbia",70055,"Pine Siskin",454,0.0065
"Louisiana",231343,"Pine Siskin",1208,0.0052
"Florida",1055743,"Pine Siskin",3208,0.003
"North Dakota",10920,"Pine Siskin,Purple Finch",11,0.001
"South Carolina",688623,"Pine Warbler",12719,0.0185
"North Carolina",1909882,"Pine Warbler",32850,0.0172
"Georgia",1299183,"Pine Warbler",19901,0.0153
"Florida",1055743,"Pine Warbler",13580,0.0129
"District of Columbia",70055,"Pine Warbler",790,0.0113
"Virginia",1776624,"Pine Warbler",19609,0.011
"New Hampshire",248851,"Pine Warbler",2439,0.0098
"Delaware",142005,"Pine Warbler",1373,0.0097
"Massachusetts",1069489,"Pine Warbler",9390,0.0088
"Connecticut",577033,"Pine Warbler",5016,0.0087
"Rhode Island",130587,"Pine Warbler",1134,0.0087
"Maine",134900,"Pine Warbler",1080,0.008
"Maryland",1132870,"Pine Warbler",8941,0.0079
"New Jersey",1257279,"Pine Warbler",9447,0.0075
"Pennsylvania",1941447,"Pine Warbler",14002,0.0072
"New York",1336435,"Pine Warbler",8608,0.0064
"Alabama",431100,"Pine Warbler",2451,0.0057
"West Virginia",167000,"Pine Warbler",920,0.0055
"Ohio",1322484,"Pine Warbler",6288,0.0048
"Mississippi",136366,"Pine Warbler",630,0.0046
"Vermont",59324,"Pine Warbler",265,0.0045
"Indiana",849567,"Pine Warbler",3625,0.0043
"Michigan",1006556,"Pine Warbler",3935,0.0039
"Kentucky",399499,"Pine Warbler",1527,0.0038
"Louisiana",231343,"Pine Warbler",798,0.0034
"Tennessee",975045,"Pine Warbler",2981,0.0031
"Texas",2095781,"Pine Warbler",6335,0.003
"Wisconsin",452914,"Pine Warbler",1225,0.0027
"Illinois",1120326,"Pine Warbler",2661,0.0024
"Arkansas",293409,"Pine Warbler",681,0.0023
"Missouri",934010,"Pine Warbler",1358,0.0015
"Minnesota",413336,"Pine Warbler",394,0.001
"Utah",194571,"Pinyon Jay",498,0.0026
"Colorado",486631,"Pinyon Jay",1207,0.0025
"New Mexico",156851,"Pinyon Jay",283,0.0018
"Montana",25244,"Pinyon Jay",38,0.0015
"Nevada",90901,"Pinyon Jay",128,0.0014
"North Dakota",10920,"Purple Finch",1274,0.1167
"Pennsylvania",1941447,"Purple Finch",142990,0.0737
"Minnesota",413336,"Purple Finch",27984,0.0677
"Delaware",142005,"Purple Finch",9539,0.0672
"Wisconsin",452914,"Purple Finch",29211,0.0645
"Ohio",1322484,"Purple Finch",84401,0.0638
"Indiana",849567,"Purple Finch",52089,0.0613
"Iowa",273596,"Purple Finch",15751,0.0576
"New Jersey",1257279,"Purple Finch",71534,0.0569
"Michigan",1006556,"Purple Finch",56421,0.0561
"Illinois",1120326,"Purple Finch",62089,0.0554
"Alabama",431100,"Purple Finch",22323,0.0518
"North Carolina",1909882,"Purple Finch",98670,0.0517
"Kentucky",399499,"Purple Finch",20397,0.0511
"Rhode Island",130587,"Purple Finch",6528,0.05
"Virginia",1776624,"Purple Finch",88032,0.0496
"Mississippi",136366,"Purple Finch",6693,0.0491
"West Virginia",167000,"Purple Finch",8152,0.0488
"Nevada",90901,"Purple Finch",4410,0.0485
"Washington",686801,"Purple Finch",32686,0.0476
"Missouri",934010,"Purple Finch",43226,0.0463
"Tennessee",975045,"Purple Finch",43993,0.0451
"Connecticut",577033,"Purple Finch",25758,0.0446
"Maryland",1132870,"Purple Finch",50082,0.0442
"Massachusetts",1069489,"Purple Finch",47006,0.044
"New Hampshire",248851,"Purple Finch",10909,0.0438
"Oregon",466881,"Purple Finch",19991,0.0428
"Georgia",1299183,"Purple Finch",53314,0.041
"South Carolina",688623,"Purple Finch",27849,0.0404
"New York",1336435,"Purple Finch",52149,0.039
"California",2195708,"Purple Finch",85411,0.0389
"Kansas",534827,"Purple Finch",19582,0.0366
"Vermont",59324,"Purple Finch",2134,0.036
"Nebraska",151459,"Purple Finch",5432,0.0359
"Maine",134900,"Purple Finch",4737,0.0351
"Arkansas",293409,"Purple Finch",8169,0.0278
"District of Columbia",70055,"Purple Finch",1912,0.0273
"Colorado",486631,"Purple Finch",12816,0.0263
"Oklahoma",313048,"Purple Finch",6849,0.0219
"South Dakota",15062,"Purple Finch",294,0.0195
"Louisiana",231343,"Purple Finch",4153,0.018
"Texas",2095781,"Purple Finch",36393,0.0174
"Arizona",582640,"Purple Finch",7815,0.0134
"Florida",1055743,"Purple Finch",8584,0.0081
"Colorado",486631,"Pygmy Nuthatch",1996,0.0041
"Arizona",582640,"Pygmy Nuthatch",1148,0.002
"Wyoming",11078,"Pygmy Nuthatch",22,0.002
"New Mexico",156851,"Pygmy Nuthatch",215,0.0014
"Montana",25244,"Pygmy Nuthatch",32,0.0013
"Texas",2095781,"Pyrrhuloxia",75158,0.0359
"Arizona",582640,"Pyrrhuloxia",16282,0.0279
"New Mexico",156851,"Pyrrhuloxia",1016,0.0065
"Oklahoma",313048,"Pyrrhuloxia",1575,0.005
"Louisiana",231343,"Pyrrhuloxia",445,0.0019
"Hawaii",53166,"Red Avadavat",206,0.0039
"Idaho",54716,"Red Crossbill",487,0.0089
"Montana",25244,"Red Crossbill",225,0.0089
"Alaska",8740,"Red Crossbill",54,0.0062
"Utah",194571,"Red Crossbill",1043,0.0054
"Colorado",486631,"Red Crossbill",2186,0.0045
"California",2195708,"Red Crossbill",7826,0.0036
"South Dakota",15062,"Red Crossbill",53,0.0035
"Wyoming",11078,"Red Crossbill",39,0.0035
"Nevada",90901,"Red Crossbill",292,0.0032
"Wisconsin",452914,"Red Crossbill",1204,0.0027
"North Dakota",10920,"Red Crossbill",30,0.0027
"Washington",686801,"Red Crossbill",1767,0.0026
"Minnesota",413336,"Red Crossbill",884,0.0021
"Iowa",273596,"Red Crossbill",561,0.0021
"New Mexico",156851,"Red Crossbill",307,0.002
"Oregon",466881,"Red Crossbill",881,0.0019
"Delaware",142005,"Red Crossbill",246,0.0017
"Nebraska",151459,"Red Crossbill",248,0.0016
"Pennsylvania",1941447,"Red Crossbill",2595,0.0013
"Illinois",1120326,"Red Crossbill",1437,0.0013
"Michigan",1006556,"Red Crossbill",1289,0.0013
"Rhode Island",130587,"Red Crossbill",166,0.0013
"Massachusetts",1069489,"Red Crossbill",1237,0.0012
"Indiana",849567,"Red Crossbill",981,0.0012
"New Jersey",1257279,"Red Crossbill",1351,0.0011
"New Hampshire",248851,"Red Crossbill",270,0.0011
"West Virginia",167000,"Red Crossbill",188,0.0011
"Arizona",582640,"Red Crossbill",607,0.001
"Kansas",534827,"Red Crossbill",525,0.001
"Maine",134900,"Red Crossbill",132,0.001
"Vermont",59324,"Red Crossbill",59,0.001
"Florida",1055743,"Red-Bellied Woodpecker",19527,0.0185
"Kentucky",399499,"Red-Bellied Woodpecker",7236,0.0181
"New Jersey",1257279,"Red-Bellied Woodpecker",20986,0.0167
"New York",1336435,"Red-Bellied Woodpecker",21477,0.0161
"Connecticut",577033,"Red-Bellied Woodpecker",9031,0.0157
"Pennsylvania",1941447,"Red-Bellied Woodpecker",22806,0.0117
"Maryland",1132870,"Red-Bellied Woodpecker",12892,0.0114
"Michigan",1006556,"Red-Bellied Woodpecker",11374,0.0113
"Iowa",273596,"Red-Bellied Woodpecker",3001,0.011
"Kansas",534827,"Red-Bellied Woodpecker",5579,0.0104
"Illinois",1120326,"Red-Bellied Woodpecker",11577,0.0103
"Nebraska",151459,"Red-Bellied Woodpecker",1537,0.0101
"Ohio",1322484,"Red-Bellied Woodpecker",12699,0.0096
"Tennessee",975045,"Red-Bellied Woodpecker",9262,0.0095
"Virginia",1776624,"Red-Bellied Woodpecker",16701,0.0094
"Arkansas",293409,"Red-Bellied Woodpecker",2744,0.0094
"Minnesota",413336,"Red-Bellied Woodpecker",3808,0.0092
"Indiana",849567,"Red-Bellied Woodpecker",7688,0.009
"Vermont",59324,"Red-Bellied Woodpecker",519,0.0087
"West Virginia",167000,"Red-Bellied Woodpecker",1363,0.0082
"Georgia",1299183,"Red-Bellied Woodpecker",10104,0.0078
"Rhode Island",130587,"Red-Bellied Woodpecker",997,0.0076
"North Carolina",1909882,"Red-Bellied Woodpecker",13852,0.0073
"Wisconsin",452914,"Red-Bellied Woodpecker",3242,0.0072
"Oklahoma",313048,"Red-Bellied Woodpecker",2232,0.0071
"Missouri",934010,"Red-Bellied Woodpecker",6451,0.0069
"Delaware",142005,"Red-Bellied Woodpecker",844,0.0059
"District of Columbia",70055,"Red-Bellied Woodpecker",385,0.0055
"Massachusetts",1069489,"Red-Bellied Woodpecker",5217,0.0049
"New Hampshire",248851,"Red-Bellied Woodpecker",1144,0.0046
"Alabama",431100,"Red-Bellied Woodpecker",1617,0.0038
"Texas",2095781,"Red-Bellied Woodpecker",5791,0.0028
"Louisiana",231343,"Red-Bellied Woodpecker",643,0.0028
"South Carolina",688623,"Red-Bellied Woodpecker",1850,0.0027
"South Dakota",15062,"Red-Bellied Woodpecker",34,0.0023
"Maine",134900,"Red-Bellied Woodpecker",215,0.0016
"Mississippi",136366,"Red-Bellied Woodpecker",169,0.0012
